codMunicipio,computadoresAlunos,internet,bandaLarga,datashows,televisores,laboratorioInformatica,salasUtilizadas,ano
3504602,4.579999923706055,0.9200000166893005,0.5,1.25,4.5,0.33000001311302185,7.329999923706055,2013
3504800,7.0,1.0,1.0,0.5,3.5,0.75,8.75,2013
3511300,11.75,1.0,1.0,0.25,3.0,0.5,10.0,2013
3517505,10.550000190734863,0.9100000262260437,0.9100000262260437,0.550000011920929,1.090000033378601,0.550000011920929,10.640000343322754,2013
3517901,11.199999809265137,0.8999999761581421,0.5,0.4000000059604645,1.899999976158142,0.5,10.100000381469727,2013
3519402,6.449999809265137,0.550000011920929,0.36000001430511475,0.27000001072883606,1.8200000524520874,0.44999998807907104,7.0,2013
3519808,6.5,0.8799999952316284,0.8799999952316284,0.6299999952316284,1.8799999952316284,0.5,8.130000114440918,2013
3521150,5.670000076293945,1.0,0.6700000166893005,0.6700000166893005,3.3299999237060547,0.33000001311302185,10.329999923706055,2013
3524501,4.599999904632568,1.0,0.800000011920929,0.800000011920929,3.799999952316284,0.4000000059604645,5.599999904632568,2013
3525706,5.690000057220459,0.8999999761581421,0.8999999761581421,0.9300000071525574,2.930000066757202,0.3799999952316284,7.590000152587891,2013
3530409,9.0,0.800000011920929,0.4000000059604645,0.4000000059604645,2.200000047683716,0.6000000238418579,6.199999809265137,2013
3532801,7.0,1.0,1.0,0.8600000143051147,1.7100000381469727,0.7099999785423279,5.139999866485596,2013
3533007,4.150000095367432,0.6899999976158142,0.6899999976158142,0.8500000238418579,2.380000114440918,0.46000000834465027,12.079999923706055,2013
3533908,6.980000019073486,0.8399999737739563,0.6299999952316284,0.8199999928474426,2.4800000190734863,0.38999998569488525,7.289999961853027,2013
3534005,56.5,0.8299999833106995,0.6700000166893005,2.6700000762939453,1.1699999570846558,0.6700000166893005,7.329999923706055,2013
3534203,10.75,1.0,1.0,6.75,8.25,0.5,11.75,2013
3535002,7.329999923706055,0.5600000023841858,0.5600000023841858,0.5600000023841858,7.329999923706055,0.5600000023841858,7.110000133514404,2013
3536604,4.570000171661377,1.0,0.8600000143051147,0.4300000071525574,2.569999933242798,0.4300000071525574,6.860000133514404,2013
3539608,6.0,0.800000011920929,0.800000011920929,0.4000000059604645,1.7999999523162842,0.4000000059604645,6.199999809265137,2013
3540804,14.5,1.0,1.0,1.25,2.25,0.6299999952316284,11.880000114440918,2013
3549805,11.15999984741211,0.800000011920929,0.699999988079071,1.559999942779541,3.109999895095825,0.5600000023841858,9.270000457763672,2013
3553401,9.5,1.0,0.9399999976158142,0.6700000166893005,2.6700000762939453,0.6100000143051147,8.829999923706055,2013
3555356,12.5,1.0,0.8299999833106995,0.5,4.170000076293945,0.5,9.0,2013
3555604,5.630000114440918,1.0,0.75,0.6299999952316284,2.880000114440918,0.3799999952316284,9.380000114440918,2013
3557154,14.329999923706055,1.0,1.0,0.33000001311302185,2.3299999237060547,0.6700000166893005,7.670000076293945,2013
3503703,14.170000076293945,1.0,0.8299999833106995,0.33000001311302185,1.5,0.6700000166893005,8.670000076293945,2013
